IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
VPS24;;;;;LINC00507;RP11-1319K7.1;;;;;;;;
CDK5RAP1;;;;;GPR123-AS1;SOCS4;;;;;;;;
RASD1;;;;;RRN3P3;FGD6;;;;;;;;
ZFR;;;;;PWAR6;FZD2;;;;;;;;
ASB2;;;;;LINC00641;HCLS1;;;;;;;;
HECA;;;;;RP11-368J22.2;PAK2;;;;;;;;
NLK;;;;;TUBB3;EMC3-AS1;;;;;;;;
FBXO40;;;;;TMEM179;HMHA1;;;;;;;;
POLR3K;;;;;RP11-454L9.2;RNF182;;;;;;;;
RTEL1;;;;;RP11-293M10.6;HIST1H2AC;;;;;;;;
MYOZ2;;;;;NSFP1;HIST1H2BC;;;;;;;;
COQ3;;;;;RP5-912I13.1;WDFY3-AS2;;;;;;;;
TUBA8;;;;;RP11-297M9.2;OXTR;;;;;;;;
BCL11A;;;;;RP11-566E18.3;ZNF572;;;;;;;;
BTBD1;;;;;RP11-161M6.2;LSMEM1;;;;;;;;
SHC3;;;;;GS1-358P8.4;NQO1;;;;;;;;
MBD3;;;;;RP11-434B12.1;AEN;;;;;;;;
FXYD6;;;;;TMEM178B;DHTKD1;;;;;;;;
RAB24;;;;;RP11-517B11.7;SLC25A41;;;;;;;;
BRWD1;;;;;LINC01003;TMEM136;;;;;;;;
NANS;;;;;RP13-514E23.1;ZNF322;;;;;;;;
ERRFI1;;;;;RP11-352D13.6;SOX2;;;;;;;;
SNTG1;;;;;RP5-1119A7.17;ZNF678;;;;;;;;
GNG2;;;;;CORO7;YIPF6;;;;;;;;
SEMA5B;;;;;DLGAP1-AS3;ZBTB20;;;;;;;;
RBM27;;;;;LINC00672;SLC9A9;;;;;;;;
FBXW5;;;;;DLGAP1-AS4;RELL1;;;;;;;;
MIOS;;;;;RP11-713C5.1;SLC2A4;;;;;;;;
SMCR7L;;;;;RASSF5;COA4;;;;;;;;
PLEKHA5;;;;;RP11-456K23.1;FAM181B;;;;;;;;
NEURL1B;;;;;FDX1L;C1S;;;;;;;;
PRMT7;;;;;CTD-2126E3.4;NCF1B;;;;;;;;
DDX4;;;;;NCBP2-AS2;LHFPL1;;;;;;;;
MTRF1L;;;;;RP11-359E10.1;LIMK2;;;;;;;;
EXOC6;;;;;ANKRD34A;ADI1;;;;;;;;
NECAB2;;;;;GS1-72M22.1;CSF1R;;;;;;;;
SGTB;;;;;CASC15;TSKU;;;;;;;;
GNB1L;;;;;CTD-2308L22.1;ANXA2;;;;;;;;
LZTFL1;;;;;DGCR9;RPS17L;;;;;;;;
L1TD1;;;;;GRIN2B;GLUD2;;;;;;;;
NDFIP2;;;;;;RPL35A;;;;;;;;
DDX56;;;;;;SLC25A18;;;;;;;;
INO80;;;;;;CADM1;;;;;;;;
KIAA1383;;;;;;PYCR1;;;;;;;;
LRRN3;;;;;;TMEM119;;;;;;;;
P4HTM;;;;;;PTTG1IP;;;;;;;;
PDP1;;;;;;PLGLB1;;;;;;;;
CNGB3;;;;;;GPR132;;;;;;;;
A2BP1;;;;;;HIST2H2AA3;;;;;;;;
FAM20A;;;;;;ZNRF3;;;;;;;;
KLHDC4;;;;;;TRIM52;;;;;;;;
DIRAS2;;;;;;RBM12B;;;;;;;;
LENG3;;;;;;LIN9;;;;;;;;
RNF111;;;;;;ZNF730;;;;;;;;
BCAS3;;;;;;KIRREL;;;;;;;;
GON4L;;;;;;IQGAP3;;;;;;;;
GPATCH4;;;;;;TOB2;;;;;;;;
QRICH1;;;;;;ADAP2;;;;;;;;
ZCCHC2;;;;;;FAM120C;;;;;;;;
DPP8;;;;;;CLDN5;;;;;;;;
RETSAT;;;;;;LRTOMT;;;;;;;;
TTC19;;;;;;OAF;;;;;;;;
KIAA1797;;;;;;HIST2H2AC;;;;;;;;
DUS2L;;;;;;CSF1;;;;;;;;
CHTF8;;;;;;MAML2;;;;;;;;
ZNF434;;;;;;AP001062.7;;;;;;;;
TMEM161A;;;;;;SOCS3;;;;;;;;
OCIAD1;;;;;;LPAR5;;;;;;;;
MRPL16;;;;;;ZBTB40;;;;;;;;
PARP16;;;;;;HIST2H2BE;;;;;;;;
TMEM160;;;;;;ATL3;;;;;;;;
UCKL1;;;;;;RPS17;;;;;;;;
C9orf95;;;;;;RBM43;;;;;;;;
CLN6;;;;;;TMEM106A;;;;;;;;
C1orf159;;;;;;SEMA4B;;;;;;;;
C20orf11;;;;;;RPS27L;;;;;;;;
TESC;;;;;;LRRC37B;;;;;;;;
PIH1D1;;;;;;IFITM2;;;;;;;;
FBXO34;;;;;;PPIL6;;;;;;;;
EPN3;;;;;;SPPL2C;;;;;;;;
VPS37C;;;;;;CDK10;;;;;;;;
FLJ10038;;;;;;METTL7A;;;;;;;;
ENOX1;;;;;;TMEM179B;;;;;;;;
FEZF2;;;;;;IRF7;;;;;;;;
IFT57;;;;;;PRKG1;;;;;;;;
SOBP;;;;;;TLCD2;;;;;;;;
MED9;;;;;;SP1;;;;;;;;
SAMD4B;;;;;;DBX2;;;;;;;;
ANO1;;;;;;ZFP36L1;;;;;;;;
WDR60;;;;;;CXorf38;;;;;;;;
CRTAC1;;;;;;IKZF1;;;;;;;;
AKIRIN2;;;;;;C1orf110;;;;;;;;
CEP192;;;;;;EVI2B;;;;;;;;
TRIM68;;;;;;IFITM1;;;;;;;;
RBM23;;;;;;NKAIN3;;;;;;;;
UBR7;;;;;;ZNF267;;;;;;;;
MRPS18A;;;;;;IRS2;;;;;;;;
RNF220;;;;;;AIDA;;;;;;;;
RIC8B;;;;;;PRELID2;;;;;;;;
NUDT11;;;;;;FCAR;;;;;;;;
RPRD1A;;;;;;ZNF197;;;;;;;;
MAP1S;;;;;;ARHGAP30;;;;;;;;
SBNO1;;;;;;UBE2H;;;;;;;;
LRRC20;;;;;;KATNA1;;;;;;;;
PANK4;;;;;;ARAP1;;;;;;;;
CCDC87;;;;;;MAGEE2;;;;;;;;
SLC47A1;;;;;;LILRB4;;;;;;;;
YY1AP1;;;;;;LINC00846;;;;;;;;
VPS53;;;;;;ZNF395;;;;;;;;
UBE2W;;;;;;PPARA;;;;;;;;
BRF2;;;;;;EMID1;;;;;;;;
FBXW7;;;;;;TMEM216;;;;;;;;
KLHL26;;;;;;C3orf70;;;;;;;;
CNO;;;;;;TEAD1;;;;;;;;
STRBP;;;;;;PLCD1;;;;;;;;
PLCXD1;;;;;;HEATR4;;;;;;;;
C4orf21;;;;;;LILRA5;;;;;;;;
MEG3;;;;;;MT1X;;;;;;;;
SIRPG;;;;;;COL4A1;;;;;;;;
YOD1;;;;;;TLR5;;;;;;;;
CAMK2N1;;;;;;TCEA1;;;;;;;;
PARL;;;;;;FAM69C;;;;;;;;
HES6;;;;;;TMEM220;;;;;;;;
BATF3;;;;;;HIST1H1C;;;;;;;;
SMPD3;;;;;;OVCH1;;;;;;;;
SVOP;;;;;;CYHR1;;;;;;;;
ELMOD1;;;;;;NWD1;;;;;;;;
SOX6;;;;;;NHS;;;;;;;;
HAUS7;;;;;;C15orf62;;;;;;;;
FOXRED1;;;;;;PLSCR1;;;;;;;;
UBE2Q1;;;;;;C3orf62;;;;;;;;
LRRC16A;;;;;;GTF2F2;;;;;;;;
PPP1R9A;;;;;;SELL;;;;;;;;
OTUB1;;;;;;BLOC1S5;;;;;;;;
TASP1;;;;;;C12orf55;;;;;;;;
AMBRA1;;;;;;NANOS1;;;;;;;;
AF205589.2;;;;;;S100A16;;;;;;;;
LRRC40;;;;;;PTAR1;;;;;;;;
TBC1D22B;;;;;;CC2D2B;;;;;;;;
BTBD2;;;;;;SCXA;;;;;;;;
NHP2;;;;;;USP32P1;;;;;;;;
TMEM127;;;;;;SF3B3;;;;;;;;
DDX27;;;;;;PLAC9;;;;;;;;
NPLOC4;;;;;;S100A13;;;;;;;;
DENND4C;;;;;;PCDH18;;;;;;;;
C9orf86;;;;;;MAOA;;;;;;;;
MREG;;;;;;HLA-DRB1;;;;;;;;
YEATS2;;;;;;SERPINA3;;;;;;;;
CCDC94;;;;;;AKR1C3;;;;;;;;
FAR2;;;;;;EEF1A1P5;;;;;;;;
IQCC;;;;;;SIRPB2;;;;;;;;
CEP72;;;;;;ZNF766;;;;;;;;
ZFP64;;;;;;XPNPEP3;;;;;;;;
C7orf44;;;;;;ZNF107;;;;;;;;
CCAR1;;;;;;SUPT3H;;;;;;;;
UGCGL2;;;;;;PTPN1;;;;;;;;
DHX32;;;;;;NACA;;;;;;;;
IFT122;;;;;;GOLGA6L20;;;;;;;;
MBD5;;;;;;TLR7;;;;;;;;
WDR52;;;;;;ADA;;;;;;;;
MCTP2;;;;;;ARID5A;;;;;;;;
CSGALNACT1;;;;;;ARHGEF12;;;;;;;;
DDX28;;;;;;FLNA;;;;;;;;
PCID2;;;;;;SRGAP1;;;;;;;;
CACNA2D3;;;;;;CASP4;;;;;;;;
SCN3B;;;;;;SERTAD1;;;;;;;;
HR;;;;;;ZNF420;;;;;;;;
TRERF1;;;;;;ZNF772;;;;;;;;
TSNAXIP1;;;;;;ADAM32;;;;;;;;
KDM3A;;;;;;ACSL5;;;;;;;;
IQWD1;;;;;;ZNF785;;;;;;;;
CENPJ;;;;;;SERPINA1;;;;;;;;
USE1;;;;;;LRP10;;;;;;;;
BEX1;;;;;;C5AR1;;;;;;;;
GSDMB;;;;;;MAP3K5;;;;;;;;
LMO3;;;;;;SLC2A10;;;;;;;;
AC011472.2;;;;;;ZNF665;;;;;;;;
BIN3;;;;;;PDCD1LG2;;;;;;;;
LANCL2;;;;;;FAM114A1;;;;;;;;
ZMAT5;;;;;;RPE;;;;;;;;
PCDHGA12;;;;;;RPL37A;;;;;;;;
PCDHB14;;;;;;FAM118B;;;;;;;;
PCDHB12;;;;;;ADH5;;;;;;;;
PCDHB10;;;;;;RPL12;;;;;;;;
PCDHB9;;;;;;ELOVL2;;;;;;;;
PCDHB8;;;;;;GOLGA6L9;;;;;;;;
PCDHB6;;;;;;NOL8;;;;;;;;
PCDHB3;;;;;;IRAK4;;;;;;;;
PCDHB2;;;;;;FCGR1B;;;;;;;;
PCDHAC2;;;;;;RPS4X;;;;;;;;
PCDHA11;;;;;;SULT1C4;;;;;;;;
ANKH;;;;;;TOR4A;;;;;;;;
LMOD3;;;;;;HIBCH;;;;;;;;
KIAA1217;;;;;;SOWAHC;;;;;;;;
SERTAD4;;;;;;HSD17B11;;;;;;;;
MEPCE;;;;;;CSF2RA;;;;;;;;
RP5-1022P6.1;;;;;;RPL23A;;;;;;;;
PRMT8;;;;;;STYX;;;;;;;;
RPRM;;;;;;ZKSCAN8;;;;;;;;
KCNQ5;;;;;;ZNF442;;;;;;;;
C10orf2;;;;;;ASPH;;;;;;;;
FMN2;;;;;;MT1F;;;;;;;;
GPR137;;;;;;ZNF480;;;;;;;;
GRIPAP1;;;;;;ZNF808;;;;;;;;
AGPAT3;;;;;;NUDT16;;;;;;;;
WRNIP1;;;;;;BAZ1A;;;;;;;;
C11orf60;;;;;;ECI2;;;;;;;;
EXOSC5;;;;;;MSRB1;;;;;;;;
MEIS3P2;;;;;;SLC5A3;;;;;;;;
DHX33;;;;;;RPL10A;;;;;;;;
MCCC1;;;;;;PNP;;;;;;;;
PAK6;;;;;;SFT2D1;;;;;;;;
NCLN;;;;;;CD247;;;;;;;;
ARNTL2;;;;;;HMGN2;;;;;;;;
SMYD2;;;;;;RYR3;;;;;;;;
NT5M;;;;;;SFMBT2;;;;;;;;
SHD;;;;;;ITPRIPL1;;;;;;;;
PARP6;;;;;;MAP3K3;;;;;;;;
PRDM8;;;;;;RPL39;;;;;;;;
CDC42SE2;;;;;;L3MBTL3;;;;;;;;
TOMM22;;;;;;MFAP3L;;;;;;;;
CABC1;;;;;;NAGA;;;;;;;;
PDXP;;;;;;TGM2;;;;;;;;
SLC17A7;;;;;;ARMCX6;;;;;;;;
TRIM49;;;;;;SNORA73B;;;;;;;;
PARP11;;;;;;FCGR3A;;;;;;;;
C12orf4;;;;;;HIST2H2BF;;;;;;;;
C12orf5;;;;;;SNHG5;;;;;;;;
NAT14;;;;;;PCMTD2;;;;;;;;
PDSS2;;;;;;LINC00632;;;;;;;;
CAMK1D;;;;;;EFCAB7;;;;;;;;
GOPC;;;;;;LINC00963;;;;;;;;
PLXDC1;;;;;;LINC00951;;;;;;;;
ATP13A1;;;;;;C2orf72;;;;;;;;
MAN1C1;;;;;;GGTA1P;;;;;;;;
RTN4;;;;;;PHACTR4;;;;;;;;
PAK7;;;;;;HLA-DOA;;;;;;;;
C6orf162;;;;;;HLA-DMA;;;;;;;;
PHTF2;;;;;;PSMB8;;;;;;;;
TRIM54;;;;;;HLA-DRA;;;;;;;;
ASPHD2;;;;;;SDHD;;;;;;;;
CAMK1G;;;;;;C6orf48;;;;;;;;
ACTR3B;;;;;;HSPA1L;;;;;;;;
SLC39A10;;;;;;CARD16;;;;;;;;
MCOLN1;;;;;;AIF1;;;;;;;;
ZNF248;;;;;;LST1;;;;;;;;
SLC45A4;;;;;;ZNF805;;;;;;;;
TP73-AS1;;;;;;RP11-304F15.3;;;;;;;;
C13orf1;;;;;;HLA-E;;;;;;;;
KIAA1199;;;;;;ZNF468;;;;;;;;
THAP11;;;;;;GNB2L1;;;;;;;;
SLC4A10;;;;;;CRHR1-IT1;;;;;;;;
CSRP2BP;;;;;;IGFL4;;;;;;;;
ZNF304;;;;;;ZBTB10;;;;;;;;
CLK4;;;;;;LGR4;;;;;;;;
RAB22A;;;;;;GPR56;;;;;;;;
NDRG3;;;;;;PRR13;;;;;;;;
PLEKHG5;;;;;;MT1A;;;;;;;;
ODZ2;;;;;;MT1M;;;;;;;;
AMIGO1;;;;;;CFI;;;;;;;;
FAM40B;;;;;;ITPRIPL2;;;;;;;;
SLC12A5;;;;;;DENND1C;;;;;;;;
ZNF512B;;;;;;C5orf51;;;;;;;;
PDCD6;;;;;;HLA-H;;;;;;;;
MKL2;;;;;;HLA-A;;;;;;;;
LRFN2;;;;;;VGLL3;;;;;;;;
GPR158;;;;;;DIO2;;;;;;;;
RPTOR;;;;;;SFT2D2;;;;;;;;
KCTD16;;;;;;RP11-641D5.1;;;;;;;;
HACE1;;;;;;GSTM2;;;;;;;;
SORCS2;;;;;;ARHGAP19;;;;;;;;
ZNF398;;;;;;RPL18AP3;;;;;;;;
TXNDC16;;;;;;SIPA1;;;;;;;;
AADACL1;;;;;;RP11-453F18__B.1;;;;;;;;
LRRC7;;;;;;DNAJC9;;;;;;;;
NLGN2;;;;;;SLX1A-SULT1A3;;;;;;;;
STAMBPL1;;;;;;SLC25A14P1;;;;;;;;
KLHL8;;;;;;LEPROT;;;;;;;;
ARHGAP20;;;;;;GPSM3;;;;;;;;
PCDH10;;;;;;CLIC1;;;;;;;;
KIF17;;;;;;DDAH2;;;;;;;;
KCNT1;;;;;;RPS29;;;;;;;;
CRAMP1L;;;;;;CTD-2224J9.8;;;;;;;;
SYT13;;;;;;KCTD11;;;;;;;;
MKL1;;;;;;RPL21P75;;;;;;;;
BEGAIN;;;;;;ITGA1;;;;;;;;
FNIP2;;;;;;AP1G2;;;;;;;;
KIAA1456;;;;;;TSPAN4;;;;;;;;
PITPNM2;;;;;;PAXIP1-AS2;;;;;;;;
ISLR2;;;;;;ST7-OT4;;;;;;;;
KIAA1467;;;;;;ZNF788;;;;;;;;
KIAA1468;;;;;;LINC00998;;;;;;;;
TSHZ3;;;;;;C19orf38;;;;;;;;
ZFAT;;;;;;COLCA2;;;;;;;;
SH3RF1;;;;;;VAC14-AS1;;;;;;;;
COL20A1;;;;;;HAUS3;;;;;;;;
MYH7B;;;;;;RPS3AP26;;;;;;;;
USP28;;;;;;PLIN5;;;;;;;;
KIAA1522;;;;;;RPL7P1;;;;;;;;
KIAA1524;;;;;;C10orf105;;;;;;;;
LOC100499484-C9ORF174;;;;;;METTL12;;;;;;;;
CALCOCO1;;;;;;HLA-F-AS1;;;;;;;;
KIAA1543;;;;;;AC027763.2;;;;;;;;
LRRC4C;;;;;;RP11-563J2.2;;;;;;;;
CPNE5;;;;;;LINC00478;;;;;;;;
FAM160B1;;;;;;LINC00598;;;;;;;;
GBA2;;;;;;TMEM167B;;;;;;;;
DENND1A;;;;;;TNFRSF25;;;;;;;;
WDR19;;;;;;AC110619.2;;;;;;;;
SPTBN4;;;;;;RP11-475C16.1;;;;;;;;
ZFYVE28;;;;;;RP4-791C19.1;;;;;;;;
MARK4;;;;;;PPP1R3G;;;;;;;;
SF4;;;;;;FAM228B;;;;;;;;
FAM5B;;;;;;ZGLP1;;;;;;;;
RAB40C;;;;;;PKMP3;;;;;;;;
CCNB1IP1;;;;;;RPL21P119;;;;;;;;
ENOPH1;;;;;;RP11-572P18.1;;;;;;;;
OVOL2;;;;;;CEBPD;;;;;;;;
DMRT3;;;;;;C5orf54;;;;;;;;
WIZ;;;;;;APOL6;;;;;;;;
C6orf115;;;;;;ZNF844;;;;;;;;
NTN4;;;;;;OSER1-AS1;;;;;;;;
CACNG8;;;;;;C1QTNF5;;;;;;;;
CACNG7;;;;;;CTA-407F11.6;;;;;;;;
CACNG6;;;;;;LINC01057;;;;;;;;
PRDM12;;;;;;C4B;;;;;;;;
PLEKHA1;;;;;;PTCHD3P1;;;;;;;;
PLEKHA2;;;;;;RPS4XP16;;;;;;;;
SENP2;;;;;;APOC4-APOC2;;;;;;;;
RXFP1;;;;;;RP11-228B15.4;;;;;;;;
EXOC4;;;;;;HMGB3P22;;;;;;;;
NIF3L1;;;;;;OSTM1-AS1;;;;;;;;
RINT1;;;;;;RP11-390P2.4;;;;;;;;
MIIP;;;;;;UBE2Q2P2;;;;;;;;
C12orf44;;;;;;RP11-539I5.1;;;;;;;;
C4orf41;;;;;;RP11-120J1.1;;;;;;;;
SRR;;;;;;AC002398.5;;;;;;;;
PKNOX2;;;;;;RP1-310O13.7;;;;;;;;
RNF123;;;;;;RP11-61N20.3;;;;;;;;
THADA;;;;;;ZNF192P1;;;;;;;;
MANBAL;;;;;;MIR29A;;;;;;;;
GPATCH3;;;;;;GAPDHP32;;;;;;;;
CIDEC;;;;;;SRRM5;;;;;;;;
ZNF335;;;;;;ZNF877P;;;;;;;;
C20orf177;;;;;;ERVMER34-1;;;;;;;;
NECAB3;;;;;;DANCR;;;;;;;;
DMRTC1B;;;;;;LINC00511;;;;;;;;
NEUROD6;;;;;;AC004448.2;;;;;;;;
ANO3;;;;;;KIF9-AS1;;;;;;;;
CLSTN2;;;;;;SOCS5P4;;;;;;;;
LRRC4;;;;;;SOX21-AS1;;;;;;;;
MAGEF1;;;;;;CROCCP4;;;;;;;;
MOAP1;;;;;;RP11-77P6.2;;;;;;;;
XYLT1;;;;;;RP11-552D4.1;;;;;;;;
ABCG4;;;;;;MFI2-AS1;;;;;;;;
ZFYVE20;;;;;;LINC00578;;;;;;;;
DIO3OS;;;;;;GS1-304P7.2;;;;;;;;
NECAB1;;;;;;RP11-520B13.4;;;;;;;;
MMS19;;;;;;RP11-106M7.1;;;;;;;;
PJA1;;;;;;EEF1A1P11;;;;;;;;
MLST8;;;;;;AC079779.4;;;;;;;;
AC093283.3;;;;;;RPL41;;;;;;;;
ZNF323;;;;;;AC008269.2;;;;;;;;
GREM2;;;;;;EMX2OS;;;;;;;;
ZMAT3;;;;;;TOB1-AS1;;;;;;;;
WBSCR17;;;;;;ANKRD36BP2;;;;;;;;
KLHL25;;;;;;RP4-769N13.2;;;;;;;;
INF2;;;;;;NOS2P3;;;;;;;;
CSMD1;;;;;;AC005532.5;;;;;;;;
CSRNP1;;;;;;RP11-263K19.4;;;;;;;;
WDR13;;;;;;RP11-436K8.1;;;;;;;;
SMAP2;;;;;;HLA-DPA1;;;;;;;;
C16orf58;;;;;;AC097359.2;;;;;;;;
RMND5B;;;;;;RPS18;;;;;;;;
DEM1;;;;;;AC009501.4;;;;;;;;
RMND5A;;;;;;LINC-PINT;;;;;;;;
EFCAB6;;;;;;VN1R110P;;;;;;;;
FNDC4;;;;;;RP5-855F14.1;;;;;;;;
USP46;;;;;;CYCSP8;;;;;;;;
PCDH20;;;;;;RP5-871G17.5;;;;;;;;
BCL11B;;;;;;AF064858.7;;;;;;;;
MRPL14;;;;;;CYP1B1-AS1;;;;;;;;
STAG3L4;;;;;;LINC00472;;;;;;;;
CENPH;;;;;;EEF1A1P6;;;;;;;;
NDRG4;;;;;;RNF219-AS1;;;;;;;;
SLC26A10;;;;;;NUS1P2;;;;;;;;
RSRC2;;;;;;HLA-B;;;;;;;;
SPATS2;;;;;;RPS3AP6;;;;;;;;
C5orf42;;;;;;RP11-3P17.3;;;;;;;;
SELRC1;;;;;;SOX9-AS1;;;;;;;;
PYCRL;;;;;;APOC2;;;;;;;;
WNK3;;;;;;TBC1D3C;;;;;;;;
AACS;;;;;;ZSCAN31;;;;;;;;
FAM173A;;;;;;WI2-2998D17.2;;;;;;;;
DDRGK1;;;;;;NFAM1;;;;;;;;
AC016629.3;;;;;;AF127936.7;;;;;;;;
RASL11B;;;;;;H3F3AP4;;;;;;;;
C11orf95;;;;;;PCBP2P1;;;;;;;;
LYNX1;;;;;;KIAA0040;;;;;;;;
MTMR9;;;;;;AF064858.8;;;;;;;;
GDAP1L1;;;;;;HSPB1P1;;;;;;;;
C1orf135;;;;;;AC002429.5;;;;;;;;
CUEDC2;;;;;;GPC5-IT1;;;;;;;;
DBNDD1;;;;;;RPL13AP5;;;;;;;;
CAMKV;;;;;;AC108448.2;;;;;;;;
GGCT;;;;;;RP11-370B11.1;;;;;;;;
ZNF655;;;;;;RP11-365O16.6;;;;;;;;
ERI3;;;;;;AF064858.11;;;;;;;;
C7orf26;;;;;;AC073130.1;;;;;;;;
OBFC2B;;;;;;ABCA17P;;;;;;;;
DDX54;;;;;;GOLGA2P5;;;;;;;;
TMEM38A;;;;;;LINC00391;;;;;;;;
PRRG3;;;;;;RP11-245J24.1;;;;;;;;
ATG9A;;;;;;GATSL3;;;;;;;;
FASTKD3;;;;;;RBM14;;;;;;;;
DCTPP1;;;;;;MYLK-AS1;;;;;;;;
SLC25A23;;;;;;KMT2E-AS1;;;;;;;;
TMUB2;;;;;;RP4-728D4.2;;;;;;;;
C9orf16;;;;;;WBP1;;;;;;;;
C11orf49;;;;;;LILRA2;;;;;;;;
TRIM48;;;;;;PSMB9;;;;;;;;
FAM134A;;;;;;RPS3AP22;;;;;;;;
CCDC28B;;;;;;PCDHGC3;;;;;;;;
PHF23;;;;;;COX19;;;;;;;;
DHRS11;;;;;;ACAD11;;;;;;;;
GNPTAB;;;;;;RP11-81N13.1;;;;;;;;
NOL12;;;;;;RPL36A;;;;;;;;
CENPO;;;;;;CD302;;;;;;;;
ZNF343;;;;;;PLEKHO2;;;;;;;;
FBXL15;;;;;;HOGA1;;;;;;;;
ZNF576;;;;;;RP6-109B7.3;;;;;;;;
EFHD2;;;;;;ABCF2P1;;;;;;;;
BRCC3;;;;;;TCP10L;;;;;;;;
FSD1;;;;;;HLA-DMB;;;;;;;;
ZNF557;;;;;;RP5-921G16.1;;;;;;;;
C17orf62;;;;;;EIF4EBP3;;;;;;;;
FAM65A;;;;;;ARHGEF26-AS1;;;;;;;;
ATP13A3;;;;;;TNFRSF6B;;;;;;;;
TTC13;;;;;;CFB;;;;;;;;
ABHD8;;;;;;LEFTY1;;;;;;;;
SAP130;;;;;;MRPS6;;;;;;;;
PGBD5;;;;;;ACY1;;;;;;;;
RIC3;;;;;;RP11-466H18.1;;;;;;;;
TMCO7;;;;;;LILRA6;;;;;;;;
SNRNP25;;;;;;APOBEC3C;;;;;;;;
C6orf211;;;;;;FCGR2C;;;;;;;;
EFCAB1;;;;;;C4A;;;;;;;;
C16orf57;;;;;;N4BP2L2;;;;;;;;
BEND5;;;;;;RNF139-AS1;;;;;;;;
ARHGAP10;;;;;;NEAT1;;;;;;;;
NEIL1;;;;;;ALDH1L1-AS2;;;;;;;;
PARP8;;;;;;RP11-346I3.4;;;;;;;;
ZNF329;;;;;;C14orf64;;;;;;;;
OGFOD2;;;;;;RP11-1277A3.2;;;;;;;;
VTCN1;;;;;;H2AFJ;;;;;;;;
C22orf29;;;;;;CTD-2514K5.2;;;;;;;;
C11orf61;;;;;;RP11-318M2.2;;;;;;;;
YRDC;;;;;;PCED1B-AS1;;;;;;;;
ZMAT4;;;;;;HSPA8P11;;;;;;;;
ZYG11B;;;;;;TNXA;;;;;;;;
LRRK1;;;;;;MEF2C-AS1;;;;;;;;
NOL9;;;;;;SRP14-AS1;;;;;;;;
GTDC1;;;;;;RP11-317B7.2;;;;;;;;
CCDC51;;;;;;C1orf213;;;;;;;;
SUV39H2;;;;;;NAIP;;;;;;;;
KCTD17;;;;;;EEF1A1P19;;;;;;;;
TEFM;;;;;;RP11-268P4.5;;;;;;;;
ZBBX;;;;;;EEF1A1P13;;;;;;;;
ZNF419;;;;;;SMIM20;;;;;;;;
ZNF385D;;;;;;RP11-933H2.4;;;;;;;;
SLC25A22;;;;;;RP11-834C11.4;;;;;;;;
SNIP1;;;;;;RP11-253E3.3;;;;;;;;
ASB13;;;;;;GAPDHP62;;;;;;;;
C1orf115;;;;;;RP11-582J16.4;;;;;;;;
ELMO3;;;;;;F11-AS1;;;;;;;;
MCTP1;;;;;;ZNF345;;;;;;;;
HHIPL2;;;;;;HSPD1P11;;;;;;;;
HPS6;;;;;;ZNF550;;;;;;;;
NIPAL2;;;;;;RP11-163N6.2;;;;;;;;
PIP4K2C;;;;;;AC068134.10;;;;;;;;
TMEM180;;;;;;RP11-1280N14.3;;;;;;;;
CBLL1;;;;;;PCDHGB6;;;;;;;;
NUP85;;;;;;ZFHX4-AS1;;;;;;;;
SETD6;;;;;;RP11-806O11.1;;;;;;;;
MRM1;;;;;;RP11-293D9.2;;;;;;;;
C20orf39;;;;;;RP11-61L23.2;;;;;;;;
CEP76;;;;;;RP11-10C8.2;;;;;;;;
GRHL2;;;;;;CTD-2336O2.1;;;;;;;;
TRMT2B;;;;;;ZNF260;;;;;;;;
DSN1;;;;;;LYN;;;;;;;;
PCNXL2;;;;;;PCDHGA3;;;;;;;;
FOXRED2;;;;;;SIGLEC14;;;;;;;;
NRSN2;;;;;;EEF1G;;;;;;;;
PANK2;;;;;;SCARNA9;;;;;;;;
FBXL18;;;;;;RP11-166D19.1;;;;;;;;
CSRNP3;;;;;;AC005013.1;;;;;;;;
FAM106A;;;;;;RMST;;;;;;;;
LOC80054;;;;;;RP11-242C24.2;;;;;;;;
LRRTM4;;;;;;CTSO;;;;;;;;
BAIAP2L2;;;;;;LINC01152;;;;;;;;
PTGES2;;;;;;NDUFA5P6;;;;;;;;
FRAS1;;;;;;SALL3;;;;;;;;
THOC7;;;;;;RP11-212D19.5;;;;;;;;
PQLC1;;;;;;RP11-705C15.2;;;;;;;;
EDC3;;;;;;RP11-417L19.2;;;;;;;;
AGSK1;;;;;;LSM14A;;;;;;;;
CTC1;;;;;;RP11-386G11.5;;;;;;;;
C16orf59;;;;;;RP11-644F5.11;;;;;;;;
C8orf41;;;;;;LINC00645;;;;;;;;
FUZ;;;;;;LINC00930;;;;;;;;
OPA3;;;;;;ARHGAP5-AS1;;;;;;;;
ARMC9;;;;;;TRIM34;;;;;;;;
NUBPL;;;;;;SLC25A21-AS1;;;;;;;;
PIGZ;;;;;;RP11-507K2.3;;;;;;;;
EFHC2;;;;;;RP11-114N19.3;;;;;;;;
TRIM45;;;;;;CTD-2325P2.4;;;;;;;;
FLAD1;;;;;;RP11-475A13.2;;;;;;;;
PUS1;;;;;;EFTUD1P1;;;;;;;;
ABTB1;;;;;;UBE2Q2P3;;;;;;;;
